company,eventDate,layoffsCount,industry,geography,aiRelevance,status,sourceQuality,primary source URL
Interview Kickstart,2026-05-29,50,Education,United States,automation_efficiency_cited,verified,reputable_reporting,https://inc42.com/buzz/blume-backed-interview-kickstart-lays-off-nearly-50-employees-amid-ai-automation-push/
SentinelOne,2026-05-28,,Technology,United States,ai_adjacent_restructuring,verified,primary,https://www.stocktitan.net/sec-filings/S/8-k-sentinel-one-inc-reports-material-event-295d61d04d63.html
Wix,2026-05-28,1000,Technology,Israel,explicit_ai_cited,verified,reputable_reporting,https://www.cnbc.com/2026/05/28/wix-layoffs-ai-exchange-rates.html
ClickUp,2026-05-21,,Technology,Global,explicit_ai_cited,verified,reputable_reporting,https://techcrunch.com/2026/05/25/what-clickups-mass-layoff-tells-us-about-the-future-of-work/
Groupon,2026-05-21,400,Technology,Global,explicit_ai_cited,verified,primary,https://www.sec.gov/Archives/edgar/data/1490281/000149028126000013/grpn-20260521.htm
Intuit,2026-05-20,3000,Finance,Global,explicit_ai_cited,verified,reputable_reporting,https://finance.yahoo.com/sectors/technology/articles/exclusive-intuit-cut-17-global-130424207.html
Standard Chartered,2026-05-19,7000,Finance,Global,explicit_ai_cited,verified,reputable_reporting,https://www.reuters.com/business/world-at-work/stanchart-cut-more-than-7000-jobs-bank-steps-up-ai-adoption-2026-05-19/
Innovaccer,2026-05-15,340,Technology,North America,speculative_or_unclear,needs_review,secondary_lead,https://www.interviewpal.com/layoffs/innovaccer
Kraken,2026-05-15,150,Finance,United States,automation_efficiency_cited,verified,reputable_reporting,https://financefeeds.com/kraken-cuts-150-staff-due-to-ai-delay-ipo-2027/
Jumia,2026-05-14,200,Other,Africa,explicit_ai_cited,verified,reputable_reporting,https://www.bloomberg.com/news/articles/2026-05-14/africa-e-commerce-giant-jumia-to-cut-workforce-due-to-ai
Cisco,2026-05-13,4000,Technology,Global,ai_adjacent_restructuring,verified,reputable_reporting,https://au.finance.yahoo.com/news/cisco-to-cut-about-4000-jobs-in-ai-focused-restructuring-as-orders-surge-200934836.html
